incident_number,cal_year,type_of_incident,cost_gbp,final_description,animal_group_parent,property_category,ward_code,ward,stn_ground_name,easting,northing
C4005,2015,Special Service,298,CAT WITH HEAD STUCK IN TIN,Cat,Outdoor,E05011488,West Thornton,Norbury,530550,167150
C4006,2015,Special Service,298,CAT TRAPPED IN EQUIPMENT AND INJURED,Cat,Outdoor,E05000041,VILLAGE,Dagenham,549950,184450
C4007,2015,Special Service,298,CAT TRAPPED IN CHIMNEY,Cat,Dwelling,E05000035,LONGBRIDGE,Barking,545350,185150
C4008,2015,Special Service,298,CAT STUCK BETWEEN TWO WALLS,Cat,Non Residential,E05000483,FOREST GATE NORTH,Stratford,540450,185450
B4009,2015,Special Service,298,PIGEON STUCK IN NETTING,Bird,Outdoor,E05000130,CAMDEN TOWN WITH PRIMROSE HILL,Kentish Town,528850,184450
H4010,2015,Special Service,298,HORSE TRAPPED IN A PIT,Horse,Outdoor,E05000340,UXBRIDGE NORTH,Hillingdon,507650,184950
C4012,2015,Special Service,298,ASSIST RSPCA WITH CAT IN TREE,Cat,Outdoor,E05011113,Rye Lane,Peckham,534650,175750
D4013,2015,Special Service,298,DOG WITH MOUTH TRAPPED IN CAGE,Dog,Dwelling,E05000058,OAKLEIGH,Barnet,526350,195550
C4014,2015,Special Service,298,ASSIST RSPCA WITH CAT IN TREE,Cat,Outdoor,E05000204,LOWER EDMONTON,Edmonton,534850,194050
C4015,2015,Special Service,298,ASSIST RSPCA WITH CAT UP TREE,Cat,Outdoor,E05000468,RAVENSBURY,Mitcham,526550,168250
C4016,2015,Special Service,298,ASSIST RSPCA WITH CAT UP TREE,Cat,Outdoor,E05011486,Thornton Heath,Norbury,532650,169550
B4018,2015,Special Service,298,PIGEON TRAPPED  IN TREE,Bird,Outdoor,E05011483,Shirly South,Woodside,536150,165250
C4020,2015,Special Service,298,CAT POSSIBLY TRAPPED IN SCAFFOLDING NET,Cat,Dwelling,E05000565,SUTTON NORTH,Sutton,525350,165050
C4021,2015,Special Service,298,CAT TRAPPED BETWEEN SHED AND WALL,Cat,Dwelling,E05000172,DORMERS WELLS,Southall,512650,180550
B4022,2015,Special Service,1788,2 SWANS TRAPPEDIN LOCK GATES - LEVEL 2 WATER OPS,Bird,Outdoor,E05000281,TOTTENHAM HALE,Tottenham,534750,189450
B4023,2015,Special Service,596,PARROT TRAPPED IN TREE BY HARNESS,Bird,Outdoor,E05011487,Waddon,Croydon,531150,163150
B4024,2015,Special Service,298,RUNNING CALL TO PARROT STUCK IN TREE,Bird,Outdoor,E05011244,Goodmayes,Ilford,545450,186750
C4025,2015,Special Service,298,CAT TRAPPED IN WALLSPACE,Cat,Dwelling,E05000462,HILLSIDE,Wimbledon,523750,169650
C4026,2015,Special Service,298,CAT UP TREE - REQUESTED BY RSPCA,Cat,Outdoor,E05000293,HEADSTONE SOUTH,Harrow,514650,188350
C4027,2015,Special Service,298,KITTEN STUCK IN ROOF VENTILATION,Cat,Dwelling,E05000358,HOUNSLOW CENTRAL,Heston,514350,176350
B4028,2015,Special Service,298,ASSIST RSPCA WITH PIGEON TRAPPED IN NETTING UNDER RLY BRIDGE,Bird,Outdoor,E05000099,QUEENSBURY,Stanmore,518850,189750
B4029,2015,Special Service,298,ASSIST RSCPA WITH BIRD TRAPPED IN NETTING,Bird,Dwelling,E05000378,ST. GEORGE'S,Kentish Town,529550,185550
C4030,2015,Special Service,298,KITTEN WITH HEAD STUCK IN CHAIR,Cat,Dwelling,E05000115,CRAY VALLEY WEST,Orpington,546750,168450
C4031,2015,Special Service,298,CAT TRAPPED IN BUSH,Cat,Outdoor,E05000524,KEW,Richmond,519750,176750
D4032,2015,Special Service,298,DOG STUCK BETWEEN SHED AND WALL,Dog,Non Residential,E05000423,HERNE HILL,Brixton,532450,175350
C4034,2015,Special Service,298,ASSIST RSPCA WITH CAT TRAPPED IN ENGINE BAY,Cat,Road Vehicle,E05000558,CARSHALTON CENTRAL,Wallington,527750,164150
C4035,2015,Special Service,298,ASSIST RSPCA WITH CAT IN TREE,Cat,Outdoor,E05000118,FARNBOROUGH AND CROFTON,Orpington,544150,164850
C4036,2015,Special Service,298,ASSIST RSPCA WITH CAT STUCK IN 20FT TREE,Cat,Dwelling,E05000571,WANDLE VALLEY,Mitcham,527650,166750
C4037,2015,Special Service,298,ASSIST RSPCA OFFICER  WITH KITTEN STUCK IN TREE,Cat,Outdoor,E05000192,WALPOLE,Ealing,516550,180050
C4038,2015,Special Service,298,CAT STUCK AT THE BACK OF KITCHEN CUPBOARD,Cat,Dwelling,E05011229,St. Mary's & St. James,Sidcup,547950,171050
C4039,2015,Special Service,298,KITTEN TRAPPED BETWEEN FENCES,Cat,Outdoor Structure,E05000031,EASTBURY,Barking,545250,184150
C4040,2015,Special Service,298,CAT TRAPPED IN FLAT,Cat,Dwelling,E05000279,STROUD GREEN,Holloway,531250,187650
B4041,2015,Special Service,298,SEAGULL TRAPPED ON WIRE,Bird,Non Residential,E05000349,CHISWICK RIVERSIDE,Chiswick,520950,177350
D4042,2015,Special Service,298,DOG STUCK BEHIND THE FIRE PLACE,Dog,Dwelling,E05000470,ST. HELIER,Sutton,524950,166950
B4043,2015,Special Service,298,ASSIST RSPCA WITH PIGEON TRAPPED IN CHIMNEY,Bird,Dwelling,E05000175,EAST ACTON,Acton,521150,181350
C4044,2015,Special Service,596,INJURED CAT ON BALCONY,Cat,Dwelling,E05009323,CANARY WHARF,Millwall,537650,179550
D4045,2015,Special Service,298,DOG BELIEVED TRAPPED NEAR RAILWAY LINE,Dog,Outdoor,E05000612,EARLSFIELD,Wandsworth,525950,172950
C4046,2015,Special Service,298,CAT TRAPPED IN WINDOW,Cat,Dwelling,E05000279,STROUD GREEN,Holloway,531350,187850
B4048,2015,Special Service,298,ASSIST RSPCA WITH TRAPPED MAGPIE,Bird,Dwelling,E05000410,OLD MALDEN,New Malden,520850,166450
C4049,2015,Special Service,298,ASSIST RSPCA WITH CAT UP TREE,Cat,Outdoor,E05000435,TULSE HILL,West Norwood,531250,173850
D4050,2015,Special Service,298,DOG TRAPPED IN RAILINGS BY HEAD,Dog,Outdoor Structure,E05000429,STOCKWELL,Clapham,530150,176450
D4051,2015,Special Service,298,DOG STUCK ON A ROOF,Dog,Non Residential,E05011113,Rye Lane,Peckham,534350,176350
C4052,2015,Special Service,298,CAT TRAPPED IN CAR ENGINE,Cat,Road Vehicle,E05009382,SHACKLEWELL,Stoke Newington,533650,185650
B4053,2015,Special Service,298,ASSIST RSPCA WITH SEAGULL TRAPPED BY WING,Bird,Outdoor,E05000054,HALE,Mill Hill,520750,194850
D4054,2015,Special Service,298,DOG TRAPPED BETWEEN TWO WALLS,Dog,Dwelling,E05000203,JUBILEE,Edmonton,534050,195050
C4055,2015,Special Service,298,ASSIST RSPCA WITH CAT IN TREE,Cat,Outdoor,E05000462,HILLSIDE,Wimbledon,523650,170250
D4056,2015,Special Service,298,DOG STUCK IN RAILING,Dog,Outdoor Structure,E05000204,LOWER EDMONTON,Edmonton,535350,193650
D4057,2015,Special Service,298,DOG STUCK IN MUDDY PART OF A RIVER,Dog,Outdoor,E05000311,HACTON,Hornchurch,554350,185550
C4058,2015,Special Service,298,CAT STUCK IN ROLLER BLIND,Cat,Non Residential,E05009335,WEAVERS,Bethnal Green,534350,182650
D4059,2015,Special Service,298,DOG WITH HEAD TRAPPED IN GATE,Dog,Outdoor,E05000343,WEST RUISLIP,Ruislip,508250,188050
C4060,2015,Special Service,298,CAT TRAPPED IN BOILER ROOM,Cat,Outdoor,E05000100,STONEBRIDGE,Park Royal,520450,184450
C4061,2015,Special Service,298,CAT TRAPPED BEHIND WALL IN CUPBOARD,Cat,Dwelling,E05000197,EDMONTON GREEN,Edmonton,534650,193350
C4062,2015,Special Service,596,ASSIST RSPCA WITH CAT UP TREE,Cat,Outdoor,E05000029,CHADWELL HEATH,Dagenham,547750,189550
D4063,2015,Special Service,298,DOG STUCK IN GATE,Dog,Outdoor,E05000276,NORTHUMBERLAND PARK,Tottenham,534550,191250
C4064,2015,Special Service,298,CAT STUCK BETWEEN GARAGE AND WALL,Cat,Non Residential,E05000322,SQUIRREL'S HEATH,Hornchurch,552950,189250
C4065,2015,Special Service,298,CAT STUCK BETWEEN GARAGE AND WALL,Cat,Non Residential,E05000322,SQUIRREL'S HEATH,Hornchurch,552950,189250
C4066,2015,Special Service,298,KITTEN TRAPPED BEHIND WALL IN BATHROOM,Cat,Dwelling,E05000566,SUTTON SOUTH,Sutton,526350,163550
F4067,2015,Special Service,298,FOX ON ROOF 2ND FLOOR LEVEL,Fox,Other Residential,E05009312,WALBROOK,Dowgate,532650,180950
C4068,2015,Special Service,298,CAT TRAPPED IN VAN ENGINE  THIS IS A WHITE VAN,Cat,Outdoor,E05000277,ST. ANN'S,Tottenham,532650,188750
C4069,2015,Special Service,298,CAT STUCK ON WINDOW LEDGE - ONE STOREY HIGH,Cat,Dwelling,E05009321,BROMLEY NORTH,Poplar,537750,182850
B4070,2015,Special Service,298,PARROT TRAPPED BETWEEN FENCES,Bird,Dwelling,E05000275,NOEL PARK,Tottenham,531750,190550
C4071,2015,Special Service,298,CAT UNDER DECKING,Cat,Outdoor Structure,E05000283,WHITE HART LANE,Tottenham,532650,191650
C4072,2015,Special Service,298,KITTEN TRAPPED BEHIND GAS FIRE,Cat,Dwelling,E05000629,WEST PUTNEY,Wandsworth,522850,174350
C4073,2015,Special Service,596,ASSIST RSPCA INSPECTOR WITH CAT STUCK IN TREE  INSPECTOR SIAN RIDLEY RSPCA SEVICE NUMBER 14606,Cat,Outdoor,E05000285,BELMONT,Stanmore,516450,190850
D4074,2015,Special Service,298,DOG TRAPPED IN FENCE,Dog,Dwelling,E05000305,WEST HARROW,Harrow,514750,187750
D4075,2015,Special Service,298,DISTRESSED DOG TRAPPED IN GARDEN OF ABANDONED HOUSE,Dog,Outdoor,E05000252,AVONMORE AND BROOK GREEN,Hammersmith,524450,178550
C4076,2015,Special Service,596,CAT STUCK IN CHIMNEY,Cat,Dwelling,E05000280,TOTTENHAM GREEN,Tottenham,532850,188950
D4077,2015,Special Service,298,DEER TRAPPED IN RAILINGS POLICE ATTENDING,Deer,Outdoor Structure,E05011483,Shirly South,Addington,535550,164050
C4078,2015,Special Service,596,CAT STUCK IN STORM DRAIN,Cat,Outdoor Structure,E05009380,LEA BRIDGE,Stoke Newington,535350,186950
D4079,2015,Special Service,298,MONKJACK DEER TRAPPED IN METAL GATE  RSPCA IN ATTENDANCE,Deer,Dwelling,E05000329,EASTCOTE AND EAST RUISLIP,Ruislip,509850,188550
D4080,2015,Special Service,596,DOG TRAPPED IN PIPE  ACCESS VIA WATERS EDGE PUBLIC HOUSE   CALLER WILL MEET YOU THERE,Dog,Outdoor,E05000343,WEST RUISLIP,Ruislip,508850,189550
B4081,2015,Special Service,298,ASSIST RSPCA - SEAGULL TRAPPED IN TV AERIAL 13 STOREYS HIGH,Bird,Dwelling,E05009390,CAMPDEN,Kensington,525550,179950
C4082,2015,Special Service,298,CAT STUCK IN TREE CALLED BY RSPCA     RSPCA ON SCENE,Cat,Dwelling,E05011478,Sanderstead,Purley,533350,161750
C4083,2015,Special Service,298,CAT TRAPPED IN TREE,Cat,Outdoor,E05000177,GREENFORD BROADWAY,Southall,513150,182950
B4084,2015,Special Service,298,BIRD TRAPPED IN TREE IN FRONT OF CHAPEL CALLER ON WAY TO MEET BRIGADE,Bird,Outdoor,E05000274,MUSWELL HILL,Hornsey,528650,189550
D4085,2015,Special Service,596,DOG TRAPPED IN FOX HOLE  OPP THE BRIDGE NEAR PAGODA   ACCESS VIA CROWN GATE WEST,Dog,Outdoor,E05009331,ST. PETER'S,Bethnal Green,535550,183450
D4086,2015,Special Service,298,DOG TRAPPED IN RAILINGS,Dog,Outdoor Structure,E05000611,BEDFORD,Tooting,529050,172350
C4087,2015,Special Service,298,CAT WITH HEAD STUCK IN RAILINGS,Cat,Dwelling,E05011116,South Bermondsey,Dockhead,534450,178950
C4088,2015,Special Service,596,CAT TRAPPED BETWEEN 2 WALLS - 30FT HIGH - REQUESTED BY RSPCA ON SCENE,Cat,Dwelling,E05009377,HOXTON EAST & SHOREDITCH,Shoreditch,533250,183750
D4089,2015,Special Service,298,DOG TRAPPED UNDER DECKING,Dog,Dwelling,E05000320,ST. ANDREW'S,Hornchurch,554350,187550
D4090,2015,Special Service,298,PUPPY TRAPPED DOWN PIPE,Dog,Dwelling,E05000377,MILDMAY,Islington,532850,184850
H4091,2015,Special Service,1788,HORSE TRAPPED IN DITCH LEVEL ONE HAZMAT FOUR PUMP SPECIAL SERVICE,Horse,Outdoor,E05000335,NORTHWOOD,Ruislip,507550,190650
D4092,2015,Special Service,298,DOG WITH HEAD STUCK IN CABINET UNIT,Dog,Dwelling,E05000517,EAST SHEEN,Richmond,520450,175050
D4093,2015,Special Service,298,DOG TRAPPED UNDER CAR SEAT,Dog,Road Vehicle,E05000336,NORTHWOOD HILLS,Ruislip,509950,189350
C4094,2015,Special Service,298,CAT TRAPPED BETWEEN GARAGE AND BRICK WALL,Cat,Outdoor,E05000131,CANTELOWES,Kentish Town,529850,184450
C4095,2015,Special Service,298,CAT STUCK WINDOW LEDGE 3RD FLOOR  CALLER WILL MEET OUTSIDE MORRIS HOUSE,Cat,Dwelling,E05000634,CHURCH STREET,Paddington,527050,182150
C4096,2015,Special Service,298,KITTEN TRAPPED BEHIND BOILER,Cat,Dwelling,E05009380,LEA BRIDGE,Stoke Newington,535050,186750
D4097,2015,Special Service,298,DOG TRAPPED IN PLASTIC STAND,Dog,Dwelling,E05000309,EMERSON PARK,Hornchurch,554450,188550
C4098,2015,Special Service,298,SMALL ANIMAL RESCUE - CAT TRAPPED BETWEEN SHED AND WALL,Cat,Dwelling,E05000430,STREATHAM HILL,West Norwood,530950,173250
C4099,2015,Special Service,298,ASSIST RSPCA WITH INJURERD KITTEN STUCK ON ROOF,Cat,Dwelling,E05000314,HEATON,Harold Hill,553650,190650
C4100,2015,Special Service,298,CAT STUCK IN TREE  RSPCA ON SCENE,Cat,Outdoor,E05000349,CHISWICK RIVERSIDE,Chiswick,520550,177550
C4101,2015,Special Service,298,CAT TRAPPED BEHIND IRON GRILL IN BASEMENT,Cat,Dwelling,E05000425,LARKHALL,Clapham,529750,176150
B4102,2015,Special Service,298,LEA VALLEY PARK NEAR LAKE AND MARSHLAND BEHIND THE ICE RINK   SWAN TRAPPED IN BUSHES  CALLER WILL WA,Bird,Outdoor,E05000603,LEA BRIDGE,Leyton,535750,187050
C4103,2015,Special Service,298,SMALL ANIMAL RESCUE  CAT TRAPPED IN BUSHES,Cat,Outdoor,E05000448,LEWISHAM CENTRAL,Lewisham,538150,174350
D4104,2015,Special Service,298,DOG TRAPPED IN STORM DRAIN   CHINGFORD PLAINES - CALLER WILL MEET YOU,Dog,Outdoor,E05000593,CHINGFORD GREEN,Chingford,539350,194850
C4105,2015,Special Service,298,CAT TRAPPED BEHIND WASHING MACHINE   CALLER NO 07403175319,Cat,Other Residential,E05011098,Chaucer,Dowgate,532550,179650
D4106,2015,Special Service,298,DOG STUCK ON ISLAND WITHIN LAKE  CALLER WILL MEET YOU ON COLLEGE ROAD,Dog,Outdoor,E05011100,Dulwich Village,West Norwood,533450,173550
C4107,2015,Special Service,298,DISTRESSED CAT ON BALCONY RESIDENTS AWAY,Cat,Dwelling,E05009317,BETHNAL GREEN,Bethnal Green,534950,181950
C4108,2015,Special Service,298,CAT TRAPPED UNDER FLOORBOARDS IN LOFT CONVERSION,Cat,Dwelling,E05000216,CHARLTON,East Greenwich,540750,177850
C4109,2015,Special Service,298,CAT TRAPPED ON BALCONY,Cat,Dwelling,E05009388,ABINGDON,Kensington,525450,179350
C4110,2015,Special Service,298,SMALL ANIMAL RESCUE RSPCA REQUESTED FOR A CAT THAT HAS FALLEN FROM 4TH FLOOR BALCONY TO 3RD FLOOR BA,Cat,Dwelling,E05009383,SPRINGFIELD,Stoke Newington,534750,187250
C4111,2016,Special Service,298,CAT TRAPPED ON ROOF  THREE STOREY BUILDING,Cat,Dwelling,E05000191,SOUTHFIELD,Chiswick,520550,178950
B4112,2016,Special Service,298,BIRD STUCK IN LIFT SHAFT,Bird,Dwelling,E05000190,SOUTHALL GREEN,Southall,512250,178650
D4113,2016,Special Service,298,SMALL ANIMAL RESCUE DOG FALLEN FROM FIRST FLOOR BALCONY,Dog,Dwelling,E05000601,HOE STREET,Walthamstow,537250,189450
D4114,2016,Special Service,298,DOG STUCK DOWN RABBIT HOLE LIONS GATE ENTRANCE TO BUSHY PARK,Dog,Outdoor,E05000520,HAMPTON,Twickenham,516250,168950
D4115,2016,Special Service,298,DOG WITH LEG STUCK IN DRAIN OPPOSITE JEFFREY COURT,Dog,Outdoor Structure,E05000217,COLDHARBOUR AND NEW ELTHAM,Eltham,542350,172650
C4116,2016,Special Service,298,CAT FALLEN OUT OF WINDOW ONTO NETTING CALLER HAS RANG BACK TO CANCEL - THEY HAVE MANAGED TO GET THE,Cat,Dwelling,E05000370,CLERKENWELL,Shoreditch,531250,182250
C4117,2016,Special Service,298,RUNNING CALL FROM RSPCA TO CAT STUCK ON BALCONY  RSPCA IN ATTENDANCE,Cat,Dwelling,E05000281,TOTTENHAM HALE,Tottenham,534550,190750
B4118,2016,Special Service,298,ASSIST RSPCA TO RETRIEVE AN OWL FROM A TREE,Bird,Outdoor,E05000325,BOTWELL,Hillingdon,508450,181250
D4119,2016,Special Service,298,DOG FALLEN INTO RIVERL,Dog,Outdoor,E05000446,LADYWELL,Lewisham,537550,174450
D4120,2016,Special Service,298,DOG STUCK INBETWEEN IRON RAILINGS,Dog,Outdoor Structure,E05011254,Wanstead Park,Leytonstone,541050,186750
C4121,2016,Special Service,298,CAT STUCK ON ROOF  RSPCA IN ATTENDANCE,Cat,Dwelling,E05000606,MARKHOUSE,Walthamstow,537150,188450
C4122,2016,Special Service,298,CAT TRAPPED IN GARAGE,Cat,Non Residential,E05011479,Selhurst,Croydon,533150,167150
H4123,2016,Special Service,1192,HORSE FALLEN ONTO SIDE AND STUCK IN WATER,Horse,Outdoor,E05000345,YIEWSLEY,Hillingdon,506950,180850
C4124,2016,Special Service,298,CAT TRAPPED IN WINDOW   CALLER AT 6B WILL SHOW YOU,Cat,Dwelling,E05000447,LEE GREEN,Lee Green,539850,174350
C4125,2016,Special Service,298,CAT TRAPPED INSIDE STORAGE ROOM AT REAR OF CAFE,Cat,Non Residential,E05000448,LEWISHAM CENTRAL,Lewisham,538050,174950
F4126,2016,Special Service,298,ASSIST RSPCA WITH FOX TRAPPED,Fox,Non Residential,E05009386,VICTORIA,Bethnal Green,535650,183750
D4127,2016,Special Service,298,DOG WITH HEAD STUCK IN METAL GATE,Dog,Outdoor Structure,E05000203,JUBILEE,Edmonton,535450,194650
B4128,2016,Special Service,298,PIDGEON CAUGHT IN NETTING  CALL FOR ASSISTANCE VIA RSPCA,Bird,Non Residential,E05000460,FIGGE'S MARSH,Mitcham,528250,169650
C4129,2016,Special Service,596,ASSIST RSPCA WITH CAT STUCK ON ROOF,Cat,Outdoor,E05000107,BIGGIN HILL,Biggin Hill,540850,157850
D4130,2016,Special Service,298,DOG IN DISTRESS RUNNING CALL      F351 ATTENDING   NO FURTHER ATTENDENCE REQUIRED,Dog,Outdoor,E05011249,Monkhams,Woodford,540250,192050
H4131,2016,Special Service,298,HORSE TRAPPED IN CHAINS CALLER STATES CHAIN IS ROUND THE HORSES NECK AND IT IS UNABLE TO BREATH,Horse,Outdoor,E05000356,HESTON EAST,Heston,513450,177950
D4132,2016,Special Service,298,DOG TRAPPED UNDER BALCONY,Dog,Dwelling,E05009372,HACKNEY CENTRAL,Homerton,534750,185250
B4133,2016,Special Service,298,SWAN TRAPPED BEHIND FENCING   LOCATION IS ACTUALLY - RIGHT UP THE CANAL PATH AND BY THE BRIDGE  OPPO,Bird,Outdoor,E05000085,ALPERTON,Wembley,518250,183550
C4134,2016,Special Service,894,CAT STUCK UP TREE  RSPCA IN ATTENDANCE  REQUESTING ATTENDING OF BRIGADE,Cat,Outdoor,E05000265,WORMHOLT AND WHITE CITY,Hammersmith,522850,180850
H4135,2016,Special Service,596,HORSE TRAPPED BETWEEN TWO FENCING GATES   WHELANS FARM - WHITE SIGN AT THE GATE   HORSE IS BLEEDING,Horse,Outdoor,E05000107,BIGGIN HILL,Biggin Hill,541050,157650
D4136,2016,Special Service,298,DOG STUCK DOWN MANHOLE IN REAR GARDEN   STAFFORDSHIRE BULL TERRIER,Dog,Dwelling,E05000121,MOTTINGHAM AND CHISLEHURST NORTH,Eltham,542150,171850
F4137,2016,Special Service,298,ASSIST RSPCA TO RETRIEVE FOX FROM ROOF 2 METRES HIGH,Fox,Dwelling,E05000201,HASELBURY,Edmonton,534050,194050
C4138,2016,Special Service,596,"CAT STUCK INBETWEEN WALLS    CALLER HAS SPOKEN TO RSPCA  - AND NOW RSPCA HAS REQUESTED ATTENDANCE, A",Cat,Outdoor,NA,NA,Essex,543250,193050
H4139,2016,Special Service,NA,HORSE STUCK IN MUD  HORSE HAS COLLAPSED LAYING DOWN AND IS STUCK IN 4 FEET OF MUD,Horse,Non Residential,E05011229,St. Mary's & St. James,Bexley,549850,173150
C4140,2016,Special Service,298,CAT STUCK IN CAR ENGINE,Cat,Road Vehicle,E05000132,FORTUNE GREEN,West Hampstead,524550,184950
D4141,2016,Special Service,298,DOG TRAPPED UNDER DECKING,Dog,Outdoor,E05000487,LITTLE ILFORD,Ilford,543250,185650
C4142,2016,Special Service,596,CAT TRAPPED BEHIND OVEN,Cat,Dwelling,E05000047,COPPETTS,Finchley,527450,191850
C4143,2016,Special Service,596,CAT TRAPPED IN METAL GATE ON BALCONY,Cat,Dwelling,E05000371,FINSBURY PARK,Holloway,530650,186250
C4144,2016,Special Service,298,CAT TRAPPED IN BASEMENT - FALLEN FROM 2ND FLOOR BALCONY,Cat,Dwelling,E05009390,CAMPDEN,Kensington,525050,179850
C4145,2016,Special Service,298,ASSIST RSPCA WITH A CAT TRAPPED BETWEEN SHED AND RAILINGS,Cat,Outdoor Structure,E05000590,CANN HALL,Leytonstone,540150,185950
B4146,2016,Special Service,298,ASSIST RSPCA WITH GULL TRAPPED IN WIRE HANGING FROM BRANCH    APPROX 40 FT  OVER THE THAMES  NEAR TH,Bird,Outdoor,E05000520,HAMPTON,Twickenham,514950,168950
D4147,2016,Special Service,298,DEER TRAPPED BETWEEN FENCES    NEXT TO FISHING LAKE BY RIVERSIDE HOTEL,Deer,Outdoor Structure,E05000345,YIEWSLEY,Hillingdon,505450,180650
C4148,2016,Special Service,596,CAT TRAPPED UNDER FLOOR BOARDS,Cat,Non Residential,E05000644,ST. JAMES'S,Soho,529550,180250
C4149,2016,Special Service,298,CAT TRAPPED IN SCAFFOLDING,Cat,Outdoor,E05009331,ST. PETER'S,Bethnal Green,534850,183150
C4150,2016,Special Service,298,CAT SPEARED IN TREE DOWN LITTLE ALLEY OFF OF SOUTH TERRACED CALLER IS DISTRESSED CAT IS STILL ALIVE,Cat,Outdoor Structure,E05000401,BERRYLANDS,Surbiton,518350,167450
B4151,2016,Special Service,298,PARROT TRAPPED BY LEG IN TREE,Bird,Outdoor,E05000379,ST. MARY'S,Islington,531150,184650
C4152,2016,Special Service,298,CAT TRAPPED IN TREE,Cat,Outdoor,E05000123,PENGE AND CATOR,Beckenham,534950,170150
B4153,2016,Special Service,298,GOOSE WITH LEG TRAPPED IN WIRE ON MILL POND      GOOSE IS ON THE POND UNABLE TO MOVE D,Bird,Outdoor,E05011101,Dulwich Wood,West Norwood,533250,173150
H4154,2016,Special Service,298,HORSE STUCK IN HOLE IN HORSE BOX PAST TOTTENHAM HOTSPUR TRAINING GROUND ON RIGHT HAND SIDE OF ROAD -,Horse,Road Vehicle,E05000195,CHASE,Enfield,533150,199750
C4155,2016,Special Service,596,ASSIST RSPCA WITH CAT TRAPPED IN WALL,Cat,Dwelling,E05000295,KENTON WEST,Stanmore,517250,189150
B4156,2016,Special Service,298,BIRD TRAPPED IN TREE,Bird,Dwelling,E05011096,Camberwell Green,Old Kent Road,532250,177550
C4157,2016,Special Service,298,KITTEN IN TREE,Cat,Outdoor,E05011230,Sidcup,Sidcup,546450,172050
C4158,2016,Special Service,596,ASSIST RSPCA  KITTEN FALLEN DOWN CHIMNEY,Cat,Dwelling,E05011462,Addiscombe East,Woodside,534050,166350
C4159,2016,Special Service,298,ASSIST RSPCA WITH CAT STUCK ON ROOF,Cat,Dwelling,E05009327,MILE END,Poplar,537250,181150
C4160,2016,Special Service,596,ASSIST RSPCA WITH CAT TRAPPED IN CHIMNEY - LINE OPS X 1,Cat,Dwelling,E05011462,Addiscombe East,Woodside,534050,166350
C4161,2016,Special Service,298,CAT TRAPPED IN CAR ENGINE FLOOR -2 ISLE NO 46,Cat,Non Residential,E05000263,SHEPHERD'S BUSH GREEN,Hammersmith,523350,180250
D4162,2016,Special Service,298,DOG TRAPPED IN RUBBLE  THIS IS A CONSTRUCTION SITE CAN HEAR BARKING COMING FROM UNDER THE RUBBLE  CA,Dog,Non Residential,E05009380,LEA BRIDGE,Homerton,535450,186450
D4164,2016,Special Service,298,SMALL ANIMAL RESCUE - DOG STUCK UNDER SHOWER BLOCK IN PERIVALE PARK CALLER WILL MEET CREW AT ENTRANC,Dog,Non Residential,E05000187,PERIVALE,Southall,514950,183050
D4165,2016,Special Service,298,DOG WITH FOOT TRAPPED,Dog,Non Residential,NA,NA,Essex,541150,194050
F4166,2016,Special Service,298,SMALL ANIMAL RESCUE ASSIST RSPCA WITH FOX TRAPPED IN GATE  RSPCA ON SCENE,Fox,Dwelling,E05000058,OAKLEIGH,Barnet,526850,194850
C4167,2016,Special Service,298,ASSIST RSPCA WITH TRAPPED CAT,Cat,Non Residential,E05011469,Kenley,Purley,531550,159050
C4168,2016,Special Service,298,KITTEN TRAPPED BEHIND WALL,Cat,Dwelling,E05000344,YEADING,Southall,512650,182350
C4169,2016,Special Service,298,CAT TRAPPED IN BUILDING SITE CALLER WILL MEET LFB ON SCENE,Cat,Non Residential,E05000109,BROMLEY TOWN,Bromley,540350,168650
C4170,2016,Special Service,298,CAT TRAPPED BETWEEN WALLS POSSIBLY INJURED,Cat,Dwelling,E05000222,GREENWICH WEST,Greenwich,537850,176350
C4171,2016,Special Service,298,CAT TRAPPED IN BASEMENT,Cat,Dwelling,E05000379,ST. MARY'S,Islington,531750,184150
C4172,2016,Special Service,298,CAT TRAPPED IN GARAGE,Cat,Non Residential,E05000267,BOUNDS GREEN,Hornsey,530850,190950
D4173,2016,Special Service,298,DOG TRAPPED BEHIND FENCE,Dog,Outdoor,E05000626,TOOTING,Tooting,526750,171750
D4174,2016,Special Service,298,DOG SHUT IN LIFT WITH LEAD CAUGHT IN DOOR ENTRANCE AT 2 - 4  HALF MOON STREET,Dog,Dwelling,E05000649,WEST END,Soho,528850,180250
D4175,2016,Special Service,596,DOG STUCK IN HOLE IN GROUND CALLER WILL MEET YOU,Dog,Dwelling,E05000517,EAST SHEEN,Richmond,520050,174850
C4176,2016,Special Service,298,KITTEN IN DISTRESS UNDER FLOORBOARDS BEHIND BOILER,Cat,Dwelling,E05000115,CRAY VALLEY WEST,Orpington,546050,169050
C4177,2016,Special Service,298,PERSON IN PRECARIOUS POSITION ON ROOF - WENT UP TO GET A CAT DOWN,Cat,Dwelling,E05000142,REGENT'S PARK,Euston,529050,183450
C4178,2016,Special Service,596,ASSIST RSPCA WITH CAT TRAPPED IN CAR ENGINE,Cat,Road Vehicle,E05000620,QUEENSTOWN,Clapham,528450,176850
C4179,2016,Special Service,298,SMALL ANIMAL RESCUE  CAT TRAPPED IN VOID,Cat,Dwelling,E05009327,MILE END,Bethnal Green,536550,182450
